препараты в отчетах;Препараты
регисол нео пор дор рра 7,5г саше №8;Регисол® НЕО №8
регисол нео пордорал рр 7,5г саше №8;Регисол® НЕО №8
регисол нео пордоралрр 75г саше №8;Регисол® НЕО №8
регисол нео пордоралрр 75г саше №8 цитрус;Регисол® НЕО цитрус №8
регисол нео пордоралрра саше 75г №8;Регисол® НЕО №8
регисол нео пордоралрра цитрус саше 75г №8;Регисол® НЕО цитрус №8
регисол нео порошок оральный саше 7,5 г № 8ндс;Регисол® НЕО №8
регисол нео цитрус пор дор рра 7,5г саше №8;Регисол® НЕО цитрус №8
регисол нео цитрус пор для ор рра по 7,5 г в саше №8;Регисол® НЕО цитрус №8
регисол нео цитрус пор для ор рра по 7,5 г в саше №8  интерхим одо украина одесса уп;Регисол® НЕО цитрус №8
регисол нео цитрус порошок оральный саше 7,5 г № 8 ндс;Регисол® НЕО цитрус №8
регисол саше 18,9г №10;Регисол IC №10
регисолнео;Регисол IC №10
регсол;Регисол IC №10
регсол №10;Регисол IC №10
регсол с пор доральн рну саше 18,9 г №10;Регисол IC №10
регсол с, порошок для орального розчину по 18, 9 г у саше №10 в пачц, паков;Регисол IC №10
регсол с, порошок для орального розчину по 18,9 г у саше №10 в пачц, паков;Регисол IC №10
регсол с, порошок для орального розчину по 18,9 г у саше №10 у пачц, паков;Регисол IC №10
регсол нео цитрус, порошок для орального розчину по 7,5 г у саше  № 8 в пачц дд , паков;Регисол® НЕО цитрус №8
регсол нео, порошок для орального розчину по 7,5 г у саше  № 8 в пачц дд, паков;Регисол® НЕО №8
ривастигмин c капс 1,5 мг блистер в пачке №30;Ривастигмин ІС 0,0015 №30
ривастигмин c капс 1,5 мг блистер в пачке №30 интерхим одо украина одесса уп;Ривастигмин ІС 0,0015 №30
ривастигмин c капс 1,5мг №30;Ривастигмин ІС 0,0015 №30
ривастигмин c капс 3 мг блистер в пачке №30 интерхим одо украина одесса уп;Ривастигмин ІС 0,003 №30
ривастигмин c капс 3мг №30;Ривастигмин ІС 0,003 №30
ривастигмин с капс 15мг30;Ривастигмин ІС 0,0015 №30
ривастигмин с капс 3мг30;Ривастигмин ІС 0,003 №30
ривастигмин с капс 45мг30;Ривастигмин ІС 0,0045 №30
ривастигмин с капс15мг №30 10х3;Ривастигмин ІС 0,0015 №30
ривастигмин с капс3мг №30 10х3;Ривастигмин ІС 0,003 №30
ривастигмн c, капсули по 1,5 мг №30 103 у блстерах в пачц, паков;Ривастигмин ІС 0,0015 №30
ривастигмн c, капсули по 1,5 мг №30 103 у блстерах у пачц, паков;Ривастигмин ІС 0,0015 №30
ривастигмн c, капсули по 3 мг №30 103 у блстерах в пачц, паков;Ривастигмин ІС 0,003 №30
ривастигмн c, капсули по 3 мг №30 103 у блстерах у пачц, паков;Ривастигмин ІС 0,003 №30
ривастигмн c, капсули по 4,5 мг №30 103 у блстерах в пачц, паков;Ривастигмин ІС 0,0045 №30
ривастигмн c, капсули по 4,5 мг №30 103 у блстерах у пачц, паков;Ривастигмин ІС 0,0045 №30
розувастатин 10;Розувастатин ІС 10 №30
розувастатин 10 №30;Розувастатин ІС 10 №30
розувастатин c  табл пплен  оболочкой 40 мг блистер  №30 интерхим одо украина одесса уп;Розувастатин ІС 40 №30
розувастатин c  табл10 мг №30;Розувастатин ІС 10 №30
розувастатин c  табл20 мг №30;Розувастатин ІС 20 №30
розувастатин c табл 10 мг № 30;Розувастатин ІС 10 №30
розувастатин c табл 20 мг № 30;Розувастатин ІС 20 №30
розувастатин c табл 40 мг № 30;Розувастатин ІС 40 №30
розувастатин c табл 5 мг № 30;Розувастатин ІС 05 №30
розувастатин c табл пплен оболочкой 10 мг блистер №30;Розувастатин ІС 10 №30
розувастатин c табл пплен оболочкой 10 мг блистер №30 интерхим одо украина одесса уп;Розувастатин ІС 10 №30
розувастатин c табл пплен оболочкой 20 мг блистер №30;Розувастатин ІС 20 №30
розувастатин c табл пплен оболочкой 20 мг блистер №30 интерхим одо украина одесса уп;Розувастатин ІС 20 №30
розувастатин c табл пплен оболочкой 5 мг блистер №30 интерхим одо украина одесса уп;Розувастатин ІС 05 №30
розувастатин c таблпплоб10мг №30 10х3;Розувастатин ІС 10 №30
розувастатин c таблпплоб20мг №30 10х3;Розувастатин ІС 20 №30
розувастатин c таблпплоб40мг №30 10х3;Розувастатин ІС 40 №30
розувастатин c таблпплоб5мг №30 10х3;Розувастатин ІС 05 №30
розувастатин c тб по 10мг №3010х3;Розувастатин ІС 10 №30
розувастатин c тб по 20мг №3010х3;Розувастатин ІС 20 №30
розувастатин c тб по 40мг №3010х3;Розувастатин ІС 40 №30
розувастатин c тб по 5мг №3010х3;Розувастатин ІС 05 №30
розувастатин с табпо 5мг30;Розувастатин ІС 05 №30
розувастатин с таблпо 10мг №30;Розувастатин ІС 10 №30
розувастатин с таблпо 20мг №30;Розувастатин ІС 20 №30
розувастатин с таблпо 5мг №30;Розувастатин ІС 05 №30
розувастатин с таблппо 10мг №30;Розувастатин ІС 10 №30
розувастатин с таблппо 20мг №30;Розувастатин ІС 20 №30
розувастатин с таблппо 5мг №30;Розувастатин ІС 05 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по  5 мг №30 103 у блстерах у пачц, паков;Розувастатин ІС 05 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по 10 мг №30 103 у блстерах у пачц, паков;Розувастатин ІС 10 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по 20 мг №30 103 у блстерах в пачц, паков;Розувастатин ІС 20 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по 20 мг №30 103 у блстерах у пачц, паков;Розувастатин ІС 20 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по 40 мг №30 103 у блстерах в пачц, паков;Розувастатин ІС 40 №30
розувастатин с, таблетки, вкрит плвковою оболонкою, по 40 мг №30 103 у блстерах у пачц, паков;Розувастатин ІС 40 №30
розувастатин таб5мг №30;Розувастатин ІС 05 №30
розувастатин табл 10мг №30;Розувастатин ІС 10 №30
розувастатин табл 20мг №30;Розувастатин ІС 20 №30
розувастатин табл 5мг №30;Розувастатин ІС 05 №30
розувастатинc табпо10мг30;Розувастатин ІС 10 №30
розувастатинc табпо20мг30;Розувастатин ІС 20 №30
розувастатинc табпо40мг30;Розувастатин ІС 40 №30
розувастатинc табл 20мг №30;Розувастатин ІС 20 №30
сбазонc табл 0,01 №20, уп;Сибазон® IC 0,01 №20
сибазон c 0,005 №20;Сибазон® IC 0,005 №20
сибазон c 0,01 №20;Сибазон® IC 0,01 №20
сибазон c табл 0,005 г контурн ячейк уп n20;Сибазон® IC 0,005 №20
сибазон c табл 0,005 г контурн ячейк уп n20 интерхим одо украина одесса уп;Сибазон® IC 0,005 №20
сибазон c табл 0,01 г контурн ячейк уп n20;Сибазон® IC 0,01 №20
сибазон c табл 0,01 г контурн ячейк уп n20 интерхим одо украина одесса уп;Сибазон® IC 0,01 №20
сибазон c табл0,005 № 20;Сибазон® IC 0,005 №20
сибазон c табл0,005 № 20 уп;Сибазон® IC 0,005 №20
сибазон c табл0,01 № 20;Сибазон® IC 0,01 №20
сибазон c табл0,01 № 20 уп;Сибазон® IC 0,01 №20
сибазон с 0,005 №20 табл;Сибазон® IC 0,005 №20
сибазон с 0,01 №20 табл;Сибазон® IC 0,01 №20
сибазон c табл 0,005 №20, уп;Сибазон® IC 0,005 №20
сибазон c, таблетки, по 0,005 г, №20 препарат,;Сибазон® IC 0,005 №20
сибазон c, таблетки, по 0,005 г, №20 препарат, паков;Сибазон® IC 0,005 №20
сибазон c, таблетки, по 0,005 г, №20 препарат, уп;Сибазон® IC 0,005 №20
сибазон c, таблетки, по 0,01 г, №20 препарат,;Сибазон® IC 0,01 №20
сибазон c, таблетки, по 0,01 г, №20 препарат, паков;Сибазон® IC 0,01 №20
сибазон c, таблетки, по 0,01 г, №20 препарат, уп;Сибазон® IC 0,01 №20
сибазон с, таблетки по 0,005 г №20 102 у блстерах в пачц, паков;Сибазон® IC 0,005 №20
сибазон с, таблетки по 0,005 г, №20 102 у блстерах в пачц, паков;Сибазон® IC 0,005 №20
сибазон с, таблетки по 0,005 г, №20 102, паков;Сибазон® IC 0,005 №20
сибазон с, таблетки по 0,005 г, №20 10?2, паков;Сибазон® IC 0,005 №20
сибазон с, таблетки по 0,01 г №20 102 у блстерах в пачц, паков;Сибазон® IC 0,01 №20
сибазон с, таблетки по 0,01 г, №20 102 у блстерах в пачц, паков;Сибазон® IC 0,01 №20
сибазон с, таблетки по 0,01 г, №20 102, паков;Сибазон® IC 0,01 №20
сибазон с, таблетки по 0,01 г, №20 10?2, паков;Сибазон® IC 0,01 №20
сибазонc табл 0,01 №20, уп;Сибазон® IC 0,01 №20
смарт слим саше пор100мг 10;СмартСлим 0,1 №10
смарт слим саше порошок 100мг №10ндс;СмартСлим 0,1 №10
смарт смайл капс№20;СмартСмайл №20
смартслим пор доральн рра 100 мг саше №10;СмартСлим 0,1 №10
смартслим пор доральн рра 100 мг саше №10  интерхим одо украина одесса уп;СмартСлим 0,1 №10
смартслим пор доральн рра 200 мг саше №16;СмартСлим 0,2 №16
смартслим пор доральн рра 200 мг саше №16  интерхим одо украина одесса уп;СмартСлим 0,2 №16
смартслм 5htp, порошок для орального розчину, 100 мгдозу по 5 г у саше №10 52 в пачц дд, паков;СмартСлим 0,1 №10
смартслм 5htp, порошок для орального розчину, 200 мгдозу по 5 г у саше №16 82 в пачц дд, паков;СмартСлим 0,2 №16
смартсмайл 5нтр капс по 100 мг №20;СмартСмайл №20
смартсмайл 5нтр капс по 100 мг №20  интерхим одо украина одесса уп;СмартСмайл №20
смартсмайл 5нтр капс по 100 мл №60;СмартСмайл №60
смартсмайл 5нтр капс по 100 мл №60  интерхим одо украина одесса уп;СмартСмайл №60
смартсмайл 5нтр, капсули по 100 мг №20 102 у блстерах в пачц дд, паков;СмартСмайл №20
смартсмайл 5нтр, капсули по 100 мг №60 106 у блстерах в пачц дд, паков;СмартСмайл №60
смартсмайл №20;СмартСмайл №20
смартсмайл №60;СмартСмайл №60
смартсмайл капс2010х2;СмартСмайл №20
суглобин;Суглобин ІС №10
суглобин c пор для орал роз 4 г саше №10;Суглобин ІС №10
суглобин c пор для орал роз 4 г саше №10  интерхим одо украина одесса уп;Суглобин ІС №10
суглобин c порорсаше 4г10;Суглобин ІС №10
суглобин c саше 4г №10;Суглобин ІС №10
суглобин c саше № 10;Суглобин ІС №10
суглобин c саше №10;Суглобин ІС №10
суглобин с №10;Суглобин ІС №10
суглобин с пор саше 4г №10;Суглобин ІС №10
суглобин с пордоралрра саше 4г №10;Суглобин ІС №10
суглобн;Суглобин ІС №10
суглобн c порошок для орального розчину по 4 г у саше №10 в пачц дд, паков;Суглобин ІС №10
суглобн с, 10 саше;Суглобин ІС №10
теофедрин  c  №10;Теофедрин  IC® №10
теофедрин  c  табл  №10;Теофедрин  IC® №10
теофедрин  c  табл  №10 уп;Теофедрин  IC® №10
теофедрин  c №10;Теофедрин  IC® №10
теофедрин  c  табл  №10, уп;Теофедрин  IC® №10
теофедрин c  табл бл №10;Теофедрин  IC® №10
теофедрин c  табл бл №10 интерхим одо украина одесса уп;Теофедрин  IC® №10
теофедрин c  табл контурн ячейк уп №10;Теофедрин  IC® №10
теофедрин c №10 табл;Теофедрин  IC® №10
теофедрин c таб№10;Теофедрин  IC® №10
теофедрин c табл n 10;Теофедрин  IC® №10
теофедрин c табл №10;Теофедрин  IC® №10
теофедрин c табл бл №10;Теофедрин  IC® №10
теофедрин c таблn10101 блиств уп;Теофедрин  IC® №10
теофедрин c табл блстер №10;Теофедрин  IC® №10
теофедрин c, таблетки, №10 препарат, уп;Теофедрин  IC® №10
теофедрин с, таблетки №10 101 у блстер в пачц, паков;Теофедрин  IC® №10
теофедрин с, таблетки №10 101, паков;Теофедрин  IC® №10
теофедрин с, таблетки №10 10?1, паков;Теофедрин  IC® №10
теофедринc табл№10;Теофедрин  IC® №10
транквлар c  табл 0,3 №20, уп;Транквилар® IC 0,3 №20
транквилар c  табл 0,3 №20;Транквилар® IC 0,3 №20
транквилар c  табл 0,3 №20, арт 04032а1;Транквилар® IC 0,3 №20
транквилар c  табл 0,3 №20, арт 04032а1 уп;Транквилар® IC 0,3 №20
транквилар c адаптол табл 0,3 г №20;Транквилар® IC 0,3 №20
транквилар c 0,3 №20;Транквилар® IC 0,3 №20
транквилар c таб 03г n20;Транквилар® IC 0,3 №20
транквилар c табл 0,3 г n 20;Транквилар® IC 0,3 №20
транквилар c табл 03 n20;Транквилар® IC 0,3 №20
транквилар c табл 03 n2010х2;Транквилар® IC 0,3 №20
транквилар c табл 03 г контурн ячейк уп n20;Транквилар® IC 0,3 №20
транквилар c табл 03 г контурн ячейк уп n20 интерхим одо украина одесса уп;Транквилар® IC 0,3 №20
транквилар c табл03г №20;Транквилар® IC 0,3 №20
транквилар c тб 0,3г №20;Транквилар® IC 0,3 №20
транквилар ис мебикар 0,3 №20;Транквилар® IC 0,3 №20
транквилар ис 0,3 №20;Транквилар® IC 0,3 №20
транквилар ис табл 0,3г №20;Транквилар® IC 0,3 №20
транквилар с табл 0,3 г №20 2х10мебикар;Транквилар® IC 0,3 №20
транквилар таб 03 №20;Транквилар® IC 0,3 №20
транквилар c  табл 0,3 №20, уп;Транквилар® IC 0,3 №20
транквлар с 0,3 №20 табл;Транквилар® IC 0,3 №20
транквлар с табпо 0,3г n20 10х2 у контчарункуп;Транквилар® IC 0,3 №20
транквлар c, таблетки, по 0,3 г, №20 препарат, уп;Транквилар® IC 0,3 №20
транквлар с, таблетки по 0,3 г №20 102 у блстерах в пачц, паков;Транквилар® IC 0,3 №20
транквлар с, таблетки по 0,3 г, №20 102 у блстерах в пачц, паков;Транквилар® IC 0,3 №20
транквлар с, таблетки по 0,3 г, №20 102, паков;Транквилар® IC 0,3 №20
трифедрин  c  табл  №10;Трифедрин® IC №10
трифедрин  c  табл  №10 уп;Трифедрин® IC №10
трифедрин  c  табл  №30;Трифедрин® IC №30
трифедрин c №10 табл блистер;Трифедрин® IC №10
трифедрин ис табл №10;Трифедрин® IC №10
трифедрин с табл n 10;Трифедрин® IC №10
трифедрин с табл n 30;Трифедрин® IC №30
трифедрин c №10;Трифедрин® IC №10
феназепам c 0,0005 №50;Феназепам® IC 0,0005 №50
феназепам c 0,001 №50;Феназепам® IC 0,001 №50
феназепам c табл 0,0005 №50, арт 02032а1;Феназепам® IC 0,0005 №50
феназепам c табл 0,0005 №50, арт 02032а1 уп;Феназепам® IC 0,0005 №50
феназепам c табл 0,0005 г блистер №50;Феназепам® IC 0,0005 №50
феназепам c табл 0,0005 г блистер №50 интерхим одо украина одесса уп;Феназепам® IC 0,0005 №50
феназепам c табл 0,001 №50, арт 02032в2;Феназепам® IC 0,001 №50
феназепам c табл 0,001 №50, арт 02032в2 уп;Феназепам® IC 0,001 №50
феназепам c табл 0,001 г блистер №50;Феназепам® IC 0,001 №50
феназепам c табл 0,001 г блистер №50 интерхим одо украина одесса уп;Феназепам® IC 0,001 №50
феназепам с 0,0005 №50 табл+;Феназепам® IC 0,0005 №50
феназепам с 0,001 №50 табл+;Феназепам® IC 0,001 №50
феназепам c  табл 0,0005 №50, уп;Феназепам® IC 0,0005 №50
феназепам c  табл 0,001 №50, уп;Феназепам® IC 0,001 №50
феназепам c, таблетки, по 0,0005 г, №50 препарат, паков;Феназепам® IC 0,0005 №50
феназепам c, таблетки, по 0,0005 г, №50 препарат, уп;Феназепам® IC 0,0005 №50
феназепам c, таблетки, по 0,001 г, №50 препарат, паков;Феназепам® IC 0,001 №50
феназепам c, таблетки, по 0,001 г, №50 препарат, уп;Феназепам® IC 0,001 №50
феназепам с, таблетки по 0,0005 г №50 105 у блстерах в пачц, паков;Феназепам® IC 0,0005 №50
феназепам с, таблетки по 0,0005 г №50 105 у блстерах у пачц, паков;Феназепам® IC 0,0005 №50
феназепам с, таблетки по 0,0005 г, №50 105 у блстерах в пачц, паков;Феназепам® IC 0,0005 №50
феназепам с, таблетки по 0,0005 г, №50 105, паков;Феназепам® IC 0,0005 №50
феназепам с, таблетки по 0,0005 г, №50 10?5, паков;Феназепам® IC 0,0005 №50
феназепам с, таблетки по 0,001 г №50 105 у блстерах в пачц, паков;Феназепам® IC 0,001 №50
феназепам с, таблетки по 0,001 г №50 105 у блстерах у пачц, паков;Феназепам® IC 0,001 №50
феназепам с, таблетки по 0,001 г, №50 105 у блстерах в пачц, паков;Феназепам® IC 0,001 №50
феназепам с, таблетки по 0,001 г, №50 105, паков;Феназепам® IC 0,001 №50
феназепам с, таблетки по 0,001 г, №50 10?5, паков;Феназепам® IC 0,001 №50
фенобарбтал c 0,005 № 50, уп;Фенобарбитал IC 0,005 №50
фенобарбтал c 0,05 № 50, уп;Фенобарбитал IC 0,05 № 50
фенобарбтал c 0,1 № 50, уп;Фенобарбитал IC 0,1 № 50
фенобарбитал c 0,005 №50;Фенобарбитал IC 0,005 №50
фенобарбитал c 0,005 №50 уп;Фенобарбитал IC 0,005 №50
фенобарбитал c 0,05 № 50;Фенобарбитал IC 0,05 № 50
фенобарбитал c 0,05 № 50 уп;Фенобарбитал IC 0,05 № 50
фенобарбитал c 0,1 № 50;Фенобарбитал IC 0,1 № 50
фенобарбитал c 0,1 № 50 уп;Фенобарбитал IC 0,1 № 50
фенобарбитал c табл 0,005 г контурн ячейк уп№50;Фенобарбитал IC 0,005 №50
фенобарбитал c табл 0,005 г контурн ячейк уп№50 интерхим одо украина одесса уп;Фенобарбитал IC 0,005 №50
фенобарбитал c табл 0,1 г контурн ячейк уп№50;Фенобарбитал IC 0,1 № 50
фенобарбитал c табл 0,1 г контурн ячейк уп№50 интерхим одо украина одесса уп;Фенобарбитал IC 0,1 № 50
фенобарбтал c, таблетки, по 0,005 г, №50 препарат, уп;Фенобарбитал IC 0,005 №50
фенобарбтал c, таблетки, по 0,05 г, № 50 препарат, уп;Фенобарбитал IC 0,05 № 50
фенобарбтал c, таблетки, по 0,1 г, №50 препарат, паков;Фенобарбитал IC 0,1 № 50
фенобарбтал c, таблетки, по 0,1 г, №50 препарат, уп;Фенобарбитал IC 0,1 № 50
фенобарбтал с 0,005 №50 табл+;Фенобарбитал IC 0,005 №50
фенобарбтал с 0,05 №50 табл+;Фенобарбитал IC 0,05 № 50
фенобарбтал с 0,1 №50 табл+;Фенобарбитал IC 0,1 № 50
фенобарбтал с 100мг №50 табл+;Фенобарбитал IC 0,1 № 50
фенобарбтал с 50мг №50 табл+;Фенобарбитал IC 0,05 № 50
фенобарбтал с 5мг №50 табл;Фенобарбитал IC 0,05 № 50
фенобарбтал с 5мг №50 табл+;Фенобарбитал IC 0,05 № 50
фенобарбтал с, таблетки по   5 мг, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,005 №50
фенобарбтал с, таблетки по   5 мг, №50 105 у блстерах у пачц, паков;Фенобарбитал IC 0,005 №50
фенобарбтал с, таблетки по  50 мг, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,05 № 50
фенобарбтал с, таблетки по  50 мг, №50 105 у блстерах у пачц, паков;Фенобарбитал IC 0,05 № 50
фенобарбтал с, таблетки по 0,005 г, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,005 №50
фенобарбтал с, таблетки по 0,005 г, №50, паков;Фенобарбитал IC 0,005 №50
фенобарбтал с, таблетки по 0,05 г, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,05 № 50
фенобарбтал с, таблетки по 0,05 г, №50, паков;Фенобарбитал IC 0,05 № 50
фенобарбтал с, таблетки по 0,1 г, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,1 № 50
фенобарбтал с, таблетки по 0,1 г, №50, паков;Фенобарбитал IC 0,1 № 50
фенобарбтал с, таблетки по 100 мг, №50 105 у блстерах в пачц, паков;Фенобарбитал IC 0,1 № 50
фенобарбтал с, таблетки по 100 мг, №50 105 у блстерах у пачц, паков;Фенобарбитал IC 0,1 № 50
флумибакт;Флумибакт ІС №6
флумибакт c табваг10мг 6;Флумибакт ІС №6
флумибакт c табл вагинал 10 мг блистер №6;Флумибакт ІС №6
флумибакт c табл вагинал 10 мг блистер №6 интерхим одо украина одесса уп;Флумибакт ІС №6
флумибакт c таблваг10мг №6;Флумибакт ІС №6
флумибакт ис табл ваг 10мг №6;Флумибакт ІС №6
флумибакт с   табваг 10 мг № 6;Флумибакт ІС №6
флумибакт с №6;Флумибакт ІС №6
флумибакт с таблвагин10мг №6;Флумибакт ІС №6
флумибакт табл вагинал 10 мг №6;Флумибакт ІС №6
флумбакт;Флумибакт ІС №6
флумбакт c, таблетки вагнальн по 10 мг №6;Флумибакт ІС №6
флумбакт c, таблетки вагнальн по 10 мг №6 61 у блстер в пачц, паков;Флумибакт ІС №6
флумбакт c, таблетки вагнальн по 10 мг №6 61 у блстер у пачц, паков;Флумибакт ІС №6
флумбакт таб ваг №6;Флумибакт ІС №6
алкодез c таб 0,5г №4;Алкодез® ІС 0,5 №4
амиксин c таб по 0,06 №10;Амиксин® IC 0,06 №10
амиксин c таб по 0,06 №3;Амиксин® IC 0,06 №3
амиксин c таб по 0,06 №6;Амиксин® IC 0,06 №6
амиксин c таб по 0,06 №9;Амиксин® IC 0,06 №9
амиксин c таб по 0,125 №10;Амиксин® IC 0,125 №10
амиксин c таб по 0,125 №3;Амиксин® IC 0,125 №3
амиксин c таб по 0,125 №6;Амиксин® IC 0,125 №6
амилар с таб драс №16;Амилар ІС №16
амилар с таб драс №16;Амилар ІС №16
амилар с таб драс апельсин №16;Амилар ІС апельсин №16
амилар с таб драс апельсин №16;Амилар ІС апельсин №16
амиспирон c таб пролонг по 80мг №20;Амиспирон® IC 0,08 №20
бензонал c таб 0,05г №30;Бензонал IC® 0,05 №30
бензонал c таб 0,1г №50;Бензонал IC® 0,1 №50
бензонал таб 0,1г №50;Бензонал IC® 0,1 №50
гидазепам c таб 0,02г №20;Гидазепам IC® 0,02 №20
гидазепам c таб 0,05г №10;Гидазепам IC® 0,05 №10
гидазепам c таб сублингвал 0,02г №20;Гидазепам IC® субл. 0,02 №20
гидазепам c таб сублингвал 0,05г №10;Гидазепам IC® субл. 0,05 №10
интагра c таб по 100мг №4;Интагра® ІС 0,1 №4
кодесан c таб №10;Кодесан® IC №10
кодтерпин c таб №10 уп;Кодтерпин IC® б/п №10
левана c таб 0,5мг №20;Левана® IC 0,0005 № 20
левана c таб 1мг №10;Левана® IC 0,001 № 10
левана c таб 2мг №10;Левана® IC 0,002 № 10
мебикар c таб 0,3г №20;Мебикар IC 0,3 №20
мебикар c таб 0,5г №20;Мебикар IC 0,5 №20
нообут c пор 500мгдоз 25г саше №10;Нообут® IC 500 №10
нообут c таб 0,1г №20;Нообут® IC 0,1 №20
нообут c таб 0,25г №20;Нообут® IC 0,25 №20
прамипексол с таб 1мг №30;Прамипексол ІС 0,001 №30
пятирчатка c таб №10;Пятирчатка® IC №10
теофедрин c таб №10 у;Теофедрин  IC® №10
транквилар c таб 0,3 №20;Транквилар® IC 0,3 №20
кодтерпин с №10 табл;Кодтерпин IC® б/п №10
пятирчатка ис №10 табл;Пятирчатка® IC №10
кодесан c №10 табл;Кодесан® IC №10
пенталгин c №10 табл;Пенталгин IC® № 10
амиксин c табл по 0125г №3;Амиксин® IC 0,125 №3
амиксин c табл по 006г №3;Амиксин® IC 0,06 №3
гидазепам табл 002г №20;Гидазепам IC® 0,02 №20
бензонал табл 0,1г № 50;Бензонал IC® 0,1 №50
яяамиксин c таблпо  006г №9;Амиксин® IC 0,06 №9
пенталгин cn табл №12;Пенталгин IC® № 10
нообут  025г №20 табл;Нообут® IC 0,25 №20
транквилар с табл по 0,3 г № 20;Транквилар® IC 0,3 №20
нообут табл 0,1 №20;Нообут® IC 0,1 №20
интагра c табл 100мг №4;Интагра® ІС 0,1 №4
интагра c табл 100мг №1;Интагра® ІС 0,1 №1
мебикар с табл 05г №20;Мебикар IC 0,5 №20
левана c табл 0,002г №10;Левана® IC 0,002 № 10
алкодез с табл 0,5г №4;Алкодез® ІС 0,5 №4
паракод с табл №10;Паракод® IC №10
левана c табл 0,001г №10;Левана® IC 0,001 № 10
яянообут ис 01г №20 табл;Нообут® IC 0,1 №20
ливерия c табл 0,5г №20;Ливерия® ІС 0,5 №20
амиспирон табл пролонг дя 0,08г №10;Амиспирон® IC 0,08 №10
амицитрон порсаше №10;Амицитрон® №10
амиксин c табл по 0,125г №10;Амиксин® IC 0,125 №10
амиксин c табл по 0125г №6;Амиксин® IC 0,125 №6
амиксин c табл по 006г №10;Амиксин® IC 0,06 №10
амиксин c табл по 006г №6;Амиксин® IC 0,06 №6
левана c табл 0,0005г №20;Левана® IC 0,0005 № 20
амицитрон форте 23гр саше №10;Амицитрон® Форте №10
амицитрон форте бсахара 13гр саше №10;Амицитрон® Форте без сахара №10
бифок c  табл №10;Бифок® ІС №10
мебикар с табл 03г №20;Мебикар IC 0,3 №20
амиспирон ис табл 0,08г №20;Амиспирон® IC 0,08 №20
паракод с табл №10;Паракод® IC №10
гинкгоба капс 120мг №60;Гинкгоба 0,120 №60
смартсмайл капс №20;СмартСмайл №20
прамипексол ис табл 0,25 мг №30;Прамипексол ІС 0,00025 №30
алкодез с табл 0,5 №4;Алкодез® ІС 0,5 №4
амиксин с табл 006 г №10;Амиксин® IC 0,06 №10
амиксин с табл 006 г №3;Амиксин® IC 0,06 №3
амиксин с табл 006 г №6;Амиксин® IC 0,06 №6
амиксин с табл 006 г №9;Амиксин® IC 0,06 №9
амиксин с табл 0125 г №10;Амиксин® IC 0,125 №10
амиксин с табл 0125 г №3;Амиксин® IC 0,125 №3
амиксин с табл 0125 г №6;Амиксин® IC 0,125 №6
амиксин с табл 0125 г №9;Амиксин® IC 0,125 №9
амицитрон пор 23 г №10;Амицитрон® №10
бебиплант пор дорал рра 5 г саше №10;Бебиплант №10
бензонал с табл 0,05г №30;Бензонал IC® 0,05 №30
бензонал с табл 0,1г №50;Бензонал IC® 0,1 №50
бифок c табл №10;Бифок® ІС №10
гидазепам c табл сублигв 002 г №20;Гидазепам IC® субл. 0,02 №20
гидазепам c табл сублигв 005 г №10;Гидазепам IC® субл. 0,05 №10
гидазепам табл 002 г №20;Гидазепам IC® 0,02 №20
гидазепам табл 005 г №10;Гидазепам IC® 0,05 №10
интагра табл по 100 мг №4;Интагра® ІС 0,1 №4
интагра табл по 50 мг №4;Интагра® ІС 0,05 №4
кодесан табл №10;Кодесан® IC №10
левана c табл 0,0005г №20;Левана® IC 0,0005 № 20
левана c табл 0,001г №10;Левана® IC 0,001 № 10
левана c табл 0,002г №10;Левана® IC 0,002 № 10
ливерия табл 0,5 г №20;Ливерия® ІС 0,5 №20
мебикар c табл 0,3г №20;Мебикар IC 0,3 №20
нообут c табл 01 г №20;Нообут® IC 0,1 №20
нообут c табл 025 г №20;Нообут® IC 0,25 №20
паракод с табл по №10;Паракод® IC №10
пенталгин табл №10;Пенталгин IC® № 10
прамипексол c табл 1 мг №30;Прамипексол ІС 0,001 №30
регисол пор пак 189 №10;Регисол IC №10
транквилар табл 03 г №20;Транквилар® IC 0,3 №20
амиксин c табл по 60 мг №10;Амиксин® IC 0,06 №10
амиксин c табл по 60 мг №6;Амиксин® IC 0,06 №6
амксин с  0,125 г №10 5х2;Амиксин® IC 0,125 №10
амксин с табл0,06г №3;Амиксин® IC 0,06 №3
амксин с табл0,125г №3;Амиксин® IC 0,125 №3
амксин с табл0,125г №6;Амиксин® IC 0,125 №6
амилар c табл драссасывания, вишня №16;Амилар ІС вишня №16
амилар с табл драсс №16 8х2 апельсин;Амилар ІС апельсин №16
амиспирон таб №20;Амиспирон® IC 0,08 №20
амицитрон пак 13г№10  бсахара;Амицитрон® без сахара №10
